School,City,County/State/Country,App_All,App_Female,App_Male,App_Other,App_Unknown,Adm_All,Adm_Female,Adm_Male,Adm_Other,Adm_Unknown,Enr_All,Enr_Female,Enr_Male,Enr_Other,Enr_Unknown,Acceptance_All,Yield_All,Acceptance_Other,Yield_Other,Acceptance_Unknown,Yield_Unknown,Acceptance_Male,Yield_Male,Acceptance_Female,Yield_Female
HAYWARD TWIN OAKS MONTESSORI,Hayward,Alameda,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,20.0,14.0,6.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIEDMONT HIGH SCHOOL,Piedmont,Alameda,121.0,68.0,44.0,0.0,0.0,8.0,5.0,3.0,0,0,3.0,0.0,0.0,0,0,0.06611570247933884,0.375,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.07352941176470588,0.0
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,32.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMERY SECONDARY SCHOOL,Emeryville,Alameda,12.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OAKLAND INTERNATIONAL HIGH SCH,Oakland,Alameda,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda,21.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCCLYMONDS HIGH SCHOOL,Oakland,Alameda,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
